Date,Close,Open,High,Low,Volume,Unnamed: 6
2025-01-01,444.99,439.9,454.0,435.0,3630000.0,
2025-01-02,432.5,446.49,448.0,428.24,3200000.0,
2025-01-03,435.61,435.11,441.7,424.0,4070000.0000000005,
2025-01-06,413.25,435.0,439.98,410.56,4560000.0,
2025-01-07,406.39,415.56,417.35,391.0,7980000.0,
2025-01-08,392.19,408.0,417.04,388.0,4700000.0,
2025-01-09,387.95,392.25,402.02,384.0,4680000.0,
2025-01-10,388.88,385.0,393.0,376.99,3410000.0,
2025-01-13,393.42,391.9,397.0,388.05,2370000.0,
2025-01-14,402.75,395.0,404.0,393.1,3310000.0,
2025-01-15,400.83,405.01,410.0,398.03,2770000.0,
2025-01-16,389.02,400.0,400.0,388.05,1680000.0,
2025-01-17,398.04,389.0,403.98,385.06,3430000.0,
2025-01-20,393.29,398.99,402.0,392.0,1800000.0,
2025-01-21,382.53,393.29,395.8,380.0,1430000.0,
2025-01-22,372.47,380.99,381.8,370.05,1900000.0,
2025-01-23,384.52,373.43,386.4,370.2,2590000.0,
2025-01-24,385.03,384.97,394.0,382.0,2450000.0,
2025-01-27,370.43,385.15,388.8,368.5,1990000.0,
2025-01-28,364.07,369.44,370.0,354.1,3010000.0,
2025-01-29,356.24,368.0,370.43,352.9,2140000.0,
2025-01-30,370.63,359.97,376.99,357.5,3100000.0,
2025-01-31,368.96,379.0,379.97,367.12,1980000.0,
2025-02-03,357.4,367.11,367.6,355.11,1520000.0,
2025-02-04,350.05,360.25,363.94,346.66,1750000.0,
2025-02-06,342.55,350.0,353.0,335.1,3940000.0,
2025-02-07,343.11,343.0,347.75,334.0,2190000.0,
2025-02-10,353.22,342.98,356.0,337.4,3100000.0,
2025-02-11,365.26,356.0,368.88,354.01,4150000.0000000005,
2025-02-12,362.16,367.0,367.44,360.65,1430000.0,
2025-02-13,351.49,363.8,372.0,348.0,9800000.0,
2025-02-14,336.66,352.0,354.89,334.01,5780000.0,
2025-02-17,331.43,336.5,336.5,325.5,2630000.0,
2025-02-18,333.1,335.0,336.0,330.4,2280000.0,
2025-02-19,338.45,334.8,342.7,334.0,4330000.0,
2025-02-20,344.39,339.45,346.75,338.02,3680000.0,
2025-02-21,337.98,346.0,346.5,337.5,1510000.0,
2025-02-24,342.64,336.1,346.0,332.0,2750000.0,
2025-02-25,346.08,346.0,354.0,343.51,4150000.0000000005,
2025-02-26,339.16,345.0,345.35,338.5,1230000.0,
2025-02-27,335.14,339.0,341.95,334.0,1790000.0,
2025-02-28,335.34,337.0,339.78,334.01,2040000.0,
2025-03-03,330.6,336.7,336.7,328.9,679590.0,
2025-03-04,333.62,332.0,335.0,329.05,1480000.0,
2025-03-05,325.68,334.01,336.0,325.0,1460000.0,
2025-03-06,344.6,326.0,347.05,322.17,7410000.0,
2025-03-07,371.14,351.0,376.0,350.2,12460000.0,
2025-03-10,356.89,360.0,364.9,354.8,5440000.0,
2025-03-11,380.71,355.99,388.9,347.02,14300000.0,
2025-03-12,382.62,385.01,391.99,377.01,7990000.0,
2025-03-13,400.08,384.99,403.0,384.98,10540000.0,
2025-03-14,396.27,405.0,407.67,390.02,5540000.0,
2025-03-17,413.32,402.0,418.0,392.72,11410000.0,
2025-03-18,420.61,423.98,427.0,413.55,6340000.0,
2025-03-19,420.74,421.5,423.25,415.0,3740000.0,
2025-03-20,418.04,422.11,423.0,413.33,5200000.0,
2025-03-21,419.83,418.0,424.99,413.0,4820000.0,
2025-03-24,406.89,420.0,421.99,402.0,4019999.9999999995,
2025-03-25,418.87,404.77,422.0,398.51,8840000.0,
2025-03-26,419.93,431.0,434.0,407.51,26880000.0,
2025-03-27,420.76,419.93,423.04,415.0,7060000.0,
2025-04-03,423.55,416.9,428.0,414.5,7950000.0,
2025-04-04,411.26,423.0,423.88,410.3,7060000.0,
2025-04-07,387.45,402.0,402.0,370.13,11010000.0,
2025-04-08,391.8,394.5,396.9,390.5,3660000.0,
2025-04-09,386.61,388.0,391.9,377.89,3540000.0,
2025-04-10,395.65,405.0,405.0,393.0,6060000.0,
2025-04-11,391.02,389.99,393.97,387.05,2180000.0,
2025-04-14,387.7,392.6,394.4,382.5,2240000.0,
2025-04-15,394.07,388.0,399.49,384.0,4850000.0,
2025-04-16,384.51,400.0,403.0,382.56,21420000.0,
2025-04-17,396.52,383.89,397.95,383.0,8910000.0,
