Date,Close,Open,High,Low,Volume,Unnamed: 6
2025-01-01,228.5,225.6,230.0,223.01,5270000.0,
2025-01-02,224.49,229.15,231.25,222.1,5670000.0,
2025-01-03,222.08,224.25,224.25,218.01,3510000.0,
2025-01-06,213.56,223.99,224.89,210.1,6180000.0,
2025-01-07,218.38,213.56,219.49,205.8,6980000.0,
2025-01-08,212.95,220.0,223.0,211.5,4030000.0000000005,
2025-01-09,213.03,213.5,216.9,208.11,5560000.0,
2025-01-10,224.96,212.4,230.0,209.09,10280000.0,
2025-01-13,224.91,227.2,228.75,222.2,7650000.0,
2025-01-14,222.15,225.88,225.88,221.0,3370000.0,
2025-01-15,221.77,222.99,226.23,219.4,5710000.0,
2025-01-16,218.75,222.49,222.5,218.01,2700000.0,
2025-01-17,221.91,218.0,223.3,216.75,4630000.0,
2025-01-20,222.54,223.0,225.85,222.01,3840000.0,
2025-01-21,218.23,222.1,225.25,217.01,3400000.0,
2025-01-22,213.99,218.0,219.0,213.0,3250000.0,
2025-01-23,213.91,214.0,218.0,212.5,3080000.0,
2025-01-24,212.43,214.75,216.5,211.8,2140000.0,
2025-01-27,209.11,213.0,213.55,208.9,2900000.0,
2025-01-28,203.6,208.5,208.5,201.23,5220000.0,
2025-01-29,203.24,204.0,205.97,201.1,3820000.0,
2025-01-30,206.87,204.0,208.0,203.0,4300000.0,
2025-01-31,206.51,207.0,210.9,205.65,3990000.0,
2025-02-03,202.69,209.0,209.0,202.05,1830000.0,
2025-02-04,199.88,203.0,204.3,198.5,2900000.0,
2025-02-06,195.44,200.01,200.7,192.15,6280000.0,
2025-02-07,198.51,196.5,199.99,195.52,2350000.0,
2025-02-10,200.97,198.5,202.89,196.4,2120000.0,
2025-02-11,208.19,202.19,210.11,201.52,7360000.0,
2025-02-12,209.1,208.19,210.37,206.01,2900000.0,
2025-02-13,206.43,209.1,212.6,205.85,2870000.0,
2025-02-14,201.86,206.44,208.0,201.0,1330000.0,
2025-02-17,199.44,202.85,202.85,199.0,939280.0,
2025-02-18,205.74,200.9,206.27,199.0,2120000.0,
2025-02-19,204.8,206.55,207.5,203.45,1320000.0,
2025-02-20,204.81,204.8,208.5,204.0,3830000.0,
2025-02-21,202.75,205.1,205.51,202.0,825160.0,
2025-02-24,210.37,202.51,211.75,201.0,6340000.0,
2025-02-25,213.33,211.67,218.0,211.67,8380000.000000001,
2025-02-26,208.88,212.9,214.0,208.11,2760000.0,
2025-02-27,212.11,208.2,214.15,208.2,4500000.0,
2025-02-28,212.59,213.0,214.75,211.55,5000000.0,
2025-03-03,211.76,212.65,214.0,211.22,1570000.0,
2025-03-04,213.32,211.5,213.5,211.5,1630000.0,
2025-03-05,212.91,213.49,214.75,212.55,2300000.0,
2025-03-06,222.58,212.9,224.0,211.62,18050000.0,
2025-03-07,223.84,223.57,228.0,222.75,8870000.0,
2025-03-10,214.77,216.75,219.9,213.01,6100000.0,
2025-03-11,218.82,214.5,220.0,210.8,8140000.000000001,
2025-03-12,217.24,219.94,221.8,216.1,4560000.0,
2025-03-13,218.28,217.24,219.8,216.75,3100000.0,
2025-03-14,218.59,218.9,219.9,217.9,1590000.0,
2025-03-17,221.38,218.0,223.4,218.0,4230000.0,
2025-03-18,223.06,223.45,226.49,221.98,5500000.0,
2025-03-19,225.48,223.5,226.98,221.5,4160000.0,
2025-03-20,226.81,226.1,229.74,225.6,4920000.0,
2025-03-21,227.35,226.8,229.15,226.5,3220000.0,
2025-03-24,218.17,228.0,228.0,216.3,3950000.0,
2025-03-25,224.19,218.26,225.0,215.2,6130000.0,
2025-03-26,232.75,233.01,235.0,228.25,8940000.0,
2025-03-27,232.73,233.44,233.99,230.4,2610000.0,
2025-04-03,234.68,232.89,236.0,230.02,3180000.0,
2025-04-04,226.77,235.0,235.7,226.01,4440000.0,
2025-04-07,213.07,224.0,224.0,204.09,11610000.0,
2025-04-08,214.89,215.99,218.15,214.05,6190000.0,
2025-04-09,208.52,212.0,213.8,205.0,5510000.0,
2025-04-10,214.75,217.0,219.0,214.0,5630000.0,
2025-04-11,212.16,214.75,214.75,211.75,2690000.0,
2025-04-14,212.02,213.5,215.0,210.45,2029999.9999999998,
2025-04-15,214.32,212.9,216.8,211.56,5790000.0,
2025-04-16,211.7,216.0,217.0,210.1,3200000.0,
2025-04-17,214.08,212.9,214.69,211.01,1860000.0,
2025-04-18,212.88,216.7,216.7,212.5,1710000.0,
2025-04-21,212.23,213.9,215.0,211.52,2900000.0,
2025-04-22,213.28,212.49,214.99,211.5,2069999.9999999998,
2025-04-23,214.36,213.28,217.15,211.05,5150000.0,
2025-04-24,211.69,211.8,214.0,210.0,3500000.0,
2025-04-25,212.37,212.0,213.7,207.21,4090000.0,
2025-04-28,208.0,212.37,213.55,207.5,1710000.0,
2025-04-29,207.81,206.12,209.0,204.0,2660000.0,
2025-04-30,200.38,207.0,207.0,197.1,5330000.0,
2025-05-02,203.25,203.0,204.48,202.25,2120000.0,
2025-05-05,200.22,204.0,204.0,199.51,1960000.0,
2025-05-06,202.93,200.9,207.9,200.02,5940000.0,
2025-05-07,196.63,190.11,201.99,190.11,8430000.0,
2025-05-08,179.39,197.77,200.48,176.97,10630000.0,
2025-05-09,184.55,179.99,185.75,174.26,9340000.0,
2025-05-12,203.01,203.01,203.01,202.9,3450000.0,
2025-05-13,218.66,209.0,219.99,203.5,30910000.0,
2025-05-14,212.67,217.9,217.9,211.5,9740000.0,
2025-05-15,213.73,213.05,215.9,211.35,6850000.0,
2025-05-16,211.5,214.89,214.89,211.0,2620000.0,
2025-05-19,211.7,213.0,213.51,209.4,4670000.0,
2025-05-20,209.7,210.98,212.0,209.5,1450000.0,
2025-05-21,213.74,210.3,214.5,209.5,4450000.0,
2025-05-22,211.9,213.74,216.5,210.45,5090000.0,
2025-05-23,212.37,212.8,213.7,210.6,1690000.0,
2025-05-26,208.95,213.0,213.8,207.15,3430000.0,
2025-05-27,209.41,209.25,210.9,208.0,4440000.0,
2025-05-29,209.17,210.47,211.15,208.8,2260000.0,
2025-05-30,209.49,209.1,210.1,207.5,1910000.0,
2025-06-02,207.98,211.38,213.5,206.5,3670000.0,
2025-06-03,209.15,208.0,210.0,207.25,1910000.0,
2025-06-04,211.89,209.15,213.13,208.95,4380000.0,
2025-06-05,209.95,211.89,212.5,209.5,2230000.0,
2025-06-10,210.32,210.0,211.39,209.0,1190000.0,
2025-06-11,215.31,212.65,216.45,212.1,8780000.0,
2025-06-12,212.05,217.0,218.99,211.26,8620000.0,
2025-06-13,208.86,211.0,212.2,208.23,5200000.0,
2025-06-16,213.05,209.4,214.4,209.4,4640000.0,
2025-06-17,214.26,213.0,215.45,212.0,5630000.0,
2025-06-18,211.17,214.26,214.26,210.5,3680000.0,
2025-06-19,210.68,213.55,216.01,209.85,4400000.0,
