Date,Close,Open,High,Low,Volume,Unnamed: 6
2025-01-01,70.0,70.81,71.98,69.8,6050000.0,
2025-01-02,68.97,70.49,71.6,68.5,6930000.0,
2025-01-03,67.4,69.0,69.18,66.85,4380000.0,
2025-01-06,64.5,67.25,67.99,64.11,3930000.0,
2025-01-07,69.18,64.5,70.49,63.6,12380000.0,
2025-01-08,65.68,69.0,71.38,65.1,9520000.0,
2025-01-09,64.36,65.5,67.49,63.85,9230000.0,
2025-01-10,62.65,64.25,64.98,62.1,5350000.0,
2025-01-13,64.1,62.75,65.49,62.11,6210000.0,
2025-01-14,66.19,64.25,67.25,63.45,12340000.0,
2025-01-15,68.78,67.25,71.9,67.01,29670000.0,
2025-01-16,68.35,68.98,70.4,67.6,9890000.0,
2025-01-17,68.13,68.89,69.7,67.5,4130000.0,
2025-01-20,68.16,68.5,69.45,67.95,3210000.0,
2025-01-21,66.6,68.2,68.6,66.03,3180000.0,
2025-01-22,65.4,66.99,67.49,65.2,2100000.0,
2025-01-23,66.95,65.6,67.75,65.3,4350000.0,
2025-01-24,67.47,67.0,68.25,66.8,4830000.0,
2025-01-27,65.34,67.6,68.14,65.1,5870000.0,
2025-01-28,64.79,65.5,65.75,64.0,5380000.0,
2025-01-29,64.88,64.81,65.5,64.02,6530000.0,
2025-01-30,66.01,65.79,67.0,65.45,4890000.0,
2025-01-31,64.76,65.99,66.54,64.4,3440000.0,
2025-02-03,63.98,64.97,65.0,63.85,2720000.0,
2025-02-04,66.47,64.15,67.1,63.9,6890000.0,
2025-02-06,66.16,66.3,67.85,65.2,13130000.0,
2025-02-07,66.12,66.49,67.18,65.61,4630000.0,
2025-02-10,66.23,66.9,67.75,66.11,5320000.0,
2025-02-11,66.11,66.25,67.25,66.0,3000000.0,
2025-02-12,67.58,66.4,68.0,65.9,8910000.0,
2025-02-13,67.33,68.1,68.4,66.84,7200000.0,
2025-02-14,67.4,67.7,68.51,67.2,5450000.0,
2025-02-17,62.26,65.5,65.5,62.0,6390000.0,
2025-02-18,60.3,62.05,62.11,59.11,7760000.0,
2025-02-19,61.11,60.3,62.19,60.05,3250000.0,
2025-02-20,61.66,61.57,62.7,60.75,3850000.0,
2025-02-21,63.35,62.1,65.55,61.61,8080000.0,
2025-02-24,63.27,62.99,63.75,62.81,3580000.0,
2025-02-25,60.06,63.5,63.8,59.23,9410000.0,
2025-02-26,60.48,60.49,61.25,57.8,11230000.0,
2025-02-27,60.25,60.9,62.3,60.0,4500000.0,
2025-02-28,59.79,60.1,61.75,59.5,4450000.0,
2025-03-03,58.86,60.2,61.0,58.32,1310000.0,
2025-03-04,58.78,58.79,59.0,58.11,593370.0,
